model,decoding_method,beam_size,problem_id,input_tokens,output_tokens,total_tokens,score,source_file,row_index
Llama,origin,3,3_1000#72,53,158,211,0,LLAMA3/origin/MATH500/3_1000.jsonl,72
Llama,origin,3,3_1000#73,67,226,293,1,LLAMA3/origin/MATH500/3_1000.jsonl,73
Llama,origin,3,3_1000#74,104,325,429,1,LLAMA3/origin/MATH500/3_1000.jsonl,74
Llama,origin,3,3_1000#75,60,422,482,0,LLAMA3/origin/MATH500/3_1000.jsonl,75
Llama,origin,3,3_1000#76,71,456,527,0,LLAMA3/origin/MATH500/3_1000.jsonl,76
Llama,origin,3,3_1000#77,73,113,186,1,LLAMA3/origin/MATH500/3_1000.jsonl,77
Llama,origin,3,3_1000#78,52,90,142,1,LLAMA3/origin/MATH500/3_1000.jsonl,78
Llama,origin,3,3_1000#79,102,1000,1102,0,LLAMA3/origin/MATH500/3_1000.jsonl,79
Llama,origin,3,3_1000#80,54,63,117,1,LLAMA3/origin/MATH500/3_1000.jsonl,80
Llama,origin,3,3_1000#81,75,1000,1075,0,LLAMA3/origin/MATH500/3_1000.jsonl,81
Llama,origin,3,3_1000#82,82,293,375,0,LLAMA3/origin/MATH500/3_1000.jsonl,82
Llama,origin,3,3_1000#83,120,609,729,1,LLAMA3/origin/MATH500/3_1000.jsonl,83
Llama,origin,3,3_1000#84,55,790,845,0,LLAMA3/origin/MATH500/3_1000.jsonl,84
Llama,origin,3,3_1000#85,86,484,570,1,LLAMA3/origin/MATH500/3_1000.jsonl,85
Llama,origin,3,3_1000#86,93,283,376,1,LLAMA3/origin/MATH500/3_1000.jsonl,86
Llama,origin,3,3_1000#87,71,101,172,0,LLAMA3/origin/MATH500/3_1000.jsonl,87
Llama,origin,3,3_1000#88,57,144,201,0,LLAMA3/origin/MATH500/3_1000.jsonl,88
Llama,origin,3,3_1000#89,120,506,626,1,LLAMA3/origin/MATH500/3_1000.jsonl,89
Llama,origin,3,3_1000#90,53,210,263,0,LLAMA3/origin/MATH500/3_1000.jsonl,90
Llama,origin,3,3_1000#91,74,88,162,0,LLAMA3/origin/MATH500/3_1000.jsonl,91
Llama,origin,3,3_1000#92,76,263,339,0,LLAMA3/origin/MATH500/3_1000.jsonl,92
Llama,origin,3,3_1000#93,73,285,358,1,LLAMA3/origin/MATH500/3_1000.jsonl,93
Llama,origin,3,3_1000#94,75,468,543,1,LLAMA3/origin/MATH500/3_1000.jsonl,94
Llama,origin,3,3_1000#95,375,646,1021,0,LLAMA3/origin/MATH500/3_1000.jsonl,95
Llama,origin,3,3_1000#96,113,439,552,0,LLAMA3/origin/MATH500/3_1000.jsonl,96
Llama,origin,3,3_1000#97,137,1000,1137,0,LLAMA3/origin/MATH500/3_1000.jsonl,97
Llama,origin,3,3_1000#98,76,212,288,0,LLAMA3/origin/MATH500/3_1000.jsonl,98
Llama,origin,3,3_1000#99,51,110,161,0,LLAMA3/origin/MATH500/3_1000.jsonl,99
Llama,origin,3,3_1000#100,130,616,746,0,LLAMA3/origin/MATH500/3_1000.jsonl,100
Llama,origin,9,9_1000#1,81,289,370,0,LLAMA3/origin/MATH500/9_1000.jsonl,1
Llama,origin,9,9_1000#2,144,1000,1144,0,LLAMA3/origin/MATH500/9_1000.jsonl,2
Llama,origin,9,9_1000#3,80,403,483,1,LLAMA3/origin/MATH500/9_1000.jsonl,3
Llama,origin,9,9_1000#4,45,138,183,0,LLAMA3/origin/MATH500/9_1000.jsonl,4
Llama,origin,9,9_1000#5,360,331,691,0,LLAMA3/origin/MATH500/9_1000.jsonl,5
Llama,origin,9,9_1000#6,73,127,200,0,LLAMA3/origin/MATH500/9_1000.jsonl,6
Llama,origin,9,9_1000#7,52,761,813,0,LLAMA3/origin/MATH500/9_1000.jsonl,7
Llama,origin,9,9_1000#8,99,1000,1099,0,LLAMA3/origin/MATH500/9_1000.jsonl,8
Llama,origin,9,9_1000#9,67,260,327,1,LLAMA3/origin/MATH500/9_1000.jsonl,9
Llama,origin,9,9_1000#10,174,688,862,0,LLAMA3/origin/MATH500/9_1000.jsonl,10
Llama,origin,9,9_1000#11,57,209,266,0,LLAMA3/origin/MATH500/9_1000.jsonl,11
Llama,origin,9,9_1000#12,92,1000,1092,0,LLAMA3/origin/MATH500/9_1000.jsonl,12
Llama,origin,9,9_1000#13,101,239,340,1,LLAMA3/origin/MATH500/9_1000.jsonl,13
Llama,origin,9,9_1000#14,204,176,380,1,LLAMA3/origin/MATH500/9_1000.jsonl,14
Llama,origin,9,9_1000#15,144,309,453,0,LLAMA3/origin/MATH500/9_1000.jsonl,15
Llama,origin,9,9_1000#16,211,972,1183,1,LLAMA3/origin/MATH500/9_1000.jsonl,16
Llama,origin,9,9_1000#17,54,356,410,1,LLAMA3/origin/MATH500/9_1000.jsonl,17
Llama,origin,9,9_1000#18,240,562,802,0,LLAMA3/origin/MATH500/9_1000.jsonl,18
Llama,origin,9,9_1000#19,179,1000,1179,0,LLAMA3/origin/MATH500/9_1000.jsonl,19
Llama,origin,9,9_1000#20,81,480,561,1,LLAMA3/origin/MATH500/9_1000.jsonl,20
Llama,origin,9,9_1000#21,46,114,160,0,LLAMA3/origin/MATH500/9_1000.jsonl,21
Llama,origin,9,9_1000#22,62,1000,1062,0,LLAMA3/origin/MATH500/9_1000.jsonl,22
Llama,origin,9,9_1000#23,158,550,708,1,LLAMA3/origin/MATH500/9_1000.jsonl,23
Llama,origin,9,9_1000#24,61,604,665,0,LLAMA3/origin/MATH500/9_1000.jsonl,24
Llama,origin,9,9_1000#25,130,425,555,1,LLAMA3/origin/MATH500/9_1000.jsonl,25
Llama,origin,9,9_1000#26,112,1000,1112,0,LLAMA3/origin/MATH500/9_1000.jsonl,26
Llama,origin,9,9_1000#27,85,379,464,0,LLAMA3/origin/MATH500/9_1000.jsonl,27
Llama,origin,9,9_1000#28,110,238,348,0,LLAMA3/origin/MATH500/9_1000.jsonl,28
Llama,origin,9,9_1000#29,67,179,246,1,LLAMA3/origin/MATH500/9_1000.jsonl,29
Llama,origin,9,9_1000#30,110,250,360,0,LLAMA3/origin/MATH500/9_1000.jsonl,30
Llama,origin,9,9_1000#31,57,390,447,0,LLAMA3/origin/MATH500/9_1000.jsonl,31
Llama,origin,9,9_1000#32,41,157,198,0,LLAMA3/origin/MATH500/9_1000.jsonl,32
Llama,origin,9,9_1000#33,84,211,295,1,LLAMA3/origin/MATH500/9_1000.jsonl,33
Llama,origin,9,9_1000#34,78,490,568,1,LLAMA3/origin/MATH500/9_1000.jsonl,34
Llama,origin,9,9_1000#35,66,652,718,0,LLAMA3/origin/MATH500/9_1000.jsonl,35
Llama,origin,9,9_1000#36,74,162,236,1,LLAMA3/origin/MATH500/9_1000.jsonl,36
Llama,origin,9,9_1000#37,62,726,788,0,LLAMA3/origin/MATH500/9_1000.jsonl,37
Llama,origin,9,9_1000#38,67,244,311,0,LLAMA3/origin/MATH500/9_1000.jsonl,38
Llama,origin,9,9_1000#39,74,176,250,0,LLAMA3/origin/MATH500/9_1000.jsonl,39
Llama,origin,9,9_1000#40,55,302,357,0,LLAMA3/origin/MATH500/9_1000.jsonl,40
Llama,origin,9,9_1000#41,130,190,320,1,LLAMA3/origin/MATH500/9_1000.jsonl,41
Llama,origin,9,9_1000#42,83,318,401,0,LLAMA3/origin/MATH500/9_1000.jsonl,42
Llama,origin,9,9_1000#43,73,302,375,0,LLAMA3/origin/MATH500/9_1000.jsonl,43
Llama,origin,9,9_1000#44,107,1000,1107,0,LLAMA3/origin/MATH500/9_1000.jsonl,44
Llama,origin,9,9_1000#45,97,408,505,1,LLAMA3/origin/MATH500/9_1000.jsonl,45
Llama,origin,9,9_1000#46,69,501,570,1,LLAMA3/origin/MATH500/9_1000.jsonl,46
Llama,origin,9,9_1000#47,77,486,563,0,LLAMA3/origin/MATH500/9_1000.jsonl,47
Llama,origin,9,9_1000#48,84,274,358,1,LLAMA3/origin/MATH500/9_1000.jsonl,48
Llama,origin,9,9_1000#49,52,350,402,1,LLAMA3/origin/MATH500/9_1000.jsonl,49
Llama,origin,9,9_1000#50,58,181,239,1,LLAMA3/origin/MATH500/9_1000.jsonl,50
Llama,origin,9,9_1000#51,129,488,617,0,LLAMA3/origin/MATH500/9_1000.jsonl,51
Llama,origin,9,9_1000#52,55,829,884,1,LLAMA3/origin/MATH500/9_1000.jsonl,52
Llama,origin,9,9_1000#53,63,127,190,1,LLAMA3/origin/MATH500/9_1000.jsonl,53
Llama,origin,9,9_1000#54,60,75,135,1,LLAMA3/origin/MATH500/9_1000.jsonl,54
Llama,origin,9,9_1000#55,45,76,121,0,LLAMA3/origin/MATH500/9_1000.jsonl,55
Llama,origin,9,9_1000#56,83,257,340,0,LLAMA3/origin/MATH500/9_1000.jsonl,56
Llama,origin,9,9_1000#57,57,126,183,1,LLAMA3/origin/MATH500/9_1000.jsonl,57
Llama,origin,9,9_1000#58,87,548,635,0,LLAMA3/origin/MATH500/9_1000.jsonl,58
Llama,origin,9,9_1000#59,47,152,199,0,LLAMA3/origin/MATH500/9_1000.jsonl,59
Llama,origin,9,9_1000#60,79,385,464,0,LLAMA3/origin/MATH500/9_1000.jsonl,60
Llama,origin,9,9_1000#61,83,1000,1083,0,LLAMA3/origin/MATH500/9_1000.jsonl,61
Llama,origin,9,9_1000#62,102,601,703,1,LLAMA3/origin/MATH500/9_1000.jsonl,62
Llama,origin,9,9_1000#63,139,1000,1139,0,LLAMA3/origin/MATH500/9_1000.jsonl,63
Llama,origin,9,9_1000#64,122,820,942,1,LLAMA3/origin/MATH500/9_1000.jsonl,64
Llama,origin,9,9_1000#65,99,1000,1099,0,LLAMA3/origin/MATH500/9_1000.jsonl,65
Llama,origin,9,9_1000#66,47,131,178,1,LLAMA3/origin/MATH500/9_1000.jsonl,66
Llama,origin,9,9_1000#67,71,160,231,1,LLAMA3/origin/MATH500/9_1000.jsonl,67
Llama,origin,9,9_1000#68,81,227,308,0,LLAMA3/origin/MATH500/9_1000.jsonl,68
Llama,origin,9,9_1000#69,94,1000,1094,0,LLAMA3/origin/MATH500/9_1000.jsonl,69
Llama,origin,9,9_1000#70,89,1000,1089,0,LLAMA3/origin/MATH500/9_1000.jsonl,70
Llama,origin,9,9_1000#71,53,303,356,1,LLAMA3/origin/MATH500/9_1000.jsonl,71
Llama,origin,9,9_1000#72,53,158,211,0,LLAMA3/origin/MATH500/9_1000.jsonl,72
Llama,origin,9,9_1000#73,67,226,293,1,LLAMA3/origin/MATH500/9_1000.jsonl,73
Llama,origin,9,9_1000#74,104,319,423,1,LLAMA3/origin/MATH500/9_1000.jsonl,74
Llama,origin,9,9_1000#75,60,204,264,0,LLAMA3/origin/MATH500/9_1000.jsonl,75
Llama,origin,9,9_1000#76,71,480,551,1,LLAMA3/origin/MATH500/9_1000.jsonl,76
Llama,origin,9,9_1000#77,73,171,244,1,LLAMA3/origin/MATH500/9_1000.jsonl,77
Llama,origin,9,9_1000#78,52,128,180,1,LLAMA3/origin/MATH500/9_1000.jsonl,78
Llama,origin,9,9_1000#79,102,975,1077,0,LLAMA3/origin/MATH500/9_1000.jsonl,79
Llama,origin,9,9_1000#80,54,65,119,1,LLAMA3/origin/MATH500/9_1000.jsonl,80
Llama,origin,9,9_1000#81,75,619,694,0,LLAMA3/origin/MATH500/9_1000.jsonl,81
Llama,origin,9,9_1000#82,82,186,268,0,LLAMA3/origin/MATH500/9_1000.jsonl,82
Llama,origin,9,9_1000#83,120,377,497,0,LLAMA3/origin/MATH500/9_1000.jsonl,83
Llama,origin,9,9_1000#84,55,911,966,0,LLAMA3/origin/MATH500/9_1000.jsonl,84
Llama,origin,9,9_1000#85,86,634,720,1,LLAMA3/origin/MATH500/9_1000.jsonl,85
Llama,origin,9,9_1000#86,93,255,348,1,LLAMA3/origin/MATH500/9_1000.jsonl,86
Llama,origin,9,9_1000#87,71,101,172,0,LLAMA3/origin/MATH500/9_1000.jsonl,87
Llama,origin,9,9_1000#88,57,291,348,1,LLAMA3/origin/MATH500/9_1000.jsonl,88
Llama,origin,9,9_1000#89,120,1000,1120,0,LLAMA3/origin/MATH500/9_1000.jsonl,89
Llama,origin,9,9_1000#90,53,378,431,0,LLAMA3/origin/MATH500/9_1000.jsonl,90
Llama,origin,9,9_1000#91,74,134,208,0,LLAMA3/origin/MATH500/9_1000.jsonl,91
Llama,origin,9,9_1000#92,76,429,505,0,LLAMA3/origin/MATH500/9_1000.jsonl,92
Llama,origin,9,9_1000#93,73,464,537,0,LLAMA3/origin/MATH500/9_1000.jsonl,93
Llama,origin,9,9_1000#94,75,455,530,1,LLAMA3/origin/MATH500/9_1000.jsonl,94
Llama,origin,9,9_1000#95,375,166,541,0,LLAMA3/origin/MATH500/9_1000.jsonl,95
Llama,origin,9,9_1000#96,113,1000,1113,0,LLAMA3/origin/MATH500/9_1000.jsonl,96
Llama,origin,9,9_1000#97,137,1000,1137,0,LLAMA3/origin/MATH500/9_1000.jsonl,97
Llama,origin,9,9_1000#98,76,208,284,0,LLAMA3/origin/MATH500/9_1000.jsonl,98
Llama,origin,9,9_1000#99,51,161,212,0,LLAMA3/origin/MATH500/9_1000.jsonl,99
Llama,origin,9,9_1000#100,130,1000,1130,0,LLAMA3/origin/MATH500/9_1000.jsonl,100
Llama,tree,15,15_1000#1,81,289,370,0,LLAMA3/tree/MATH500/15_1000.jsonl,1
Llama,tree,15,15_1000#2,144,1001,1145,0,LLAMA3/tree/MATH500/15_1000.jsonl,2
Llama,tree,15,15_1000#3,80,553,633,1,LLAMA3/tree/MATH500/15_1000.jsonl,3
Llama,tree,15,15_1000#4,45,143,188,0,LLAMA3/tree/MATH500/15_1000.jsonl,4
Llama,tree,15,15_1000#5,360,331,691,0,LLAMA3/tree/MATH500/15_1000.jsonl,5
Llama,tree,15,15_1000#6,73,127,200,0,LLAMA3/tree/MATH500/15_1000.jsonl,6
Llama,tree,15,15_1000#7,52,462,514,1,LLAMA3/tree/MATH500/15_1000.jsonl,7
Llama,tree,15,15_1000#8,99,1001,1100,0,LLAMA3/tree/MATH500/15_1000.jsonl,8
Llama,tree,15,15_1000#9,67,260,327,1,LLAMA3/tree/MATH500/15_1000.jsonl,9
Llama,tree,15,15_1000#10,174,652,826,0,LLAMA3/tree/MATH500/15_1000.jsonl,10
Llama,tree,15,15_1000#11,57,368,425,0,LLAMA3/tree/MATH500/15_1000.jsonl,11
Llama,tree,15,15_1000#12,92,1001,1093,0,LLAMA3/tree/MATH500/15_1000.jsonl,12
Llama,tree,15,15_1000#13,101,211,312,1,LLAMA3/tree/MATH500/15_1000.jsonl,13
Llama,tree,15,15_1000#14,204,173,377,1,LLAMA3/tree/MATH500/15_1000.jsonl,14
Llama,tree,15,15_1000#15,144,305,449,0,LLAMA3/tree/MATH500/15_1000.jsonl,15
Llama,tree,15,15_1000#16,211,1001,1212,0,LLAMA3/tree/MATH500/15_1000.jsonl,16
Llama,tree,15,15_1000#17,54,354,408,1,LLAMA3/tree/MATH500/15_1000.jsonl,17
Llama,tree,15,15_1000#18,240,639,879,0,LLAMA3/tree/MATH500/15_1000.jsonl,18
Llama,tree,15,15_1000#19,179,324,503,1,LLAMA3/tree/MATH500/15_1000.jsonl,19
Llama,tree,15,15_1000#20,81,481,562,1,LLAMA3/tree/MATH500/15_1000.jsonl,20
Llama,tree,15,15_1000#21,46,127,173,0,LLAMA3/tree/MATH500/15_1000.jsonl,21
Llama,tree,15,15_1000#22,62,1001,1063,0,LLAMA3/tree/MATH500/15_1000.jsonl,22
Llama,tree,15,15_1000#23,158,579,737,1,LLAMA3/tree/MATH500/15_1000.jsonl,23
Llama,tree,15,15_1000#24,61,604,665,0,LLAMA3/tree/MATH500/15_1000.jsonl,24
Llama,tree,15,15_1000#25,130,448,578,1,LLAMA3/tree/MATH500/15_1000.jsonl,25
Llama,tree,15,15_1000#26,112,1001,1113,0,LLAMA3/tree/MATH500/15_1000.jsonl,26
Llama,tree,15,15_1000#27,85,379,464,0,LLAMA3/tree/MATH500/15_1000.jsonl,27
Llama,tree,15,15_1000#28,110,219,329,0,LLAMA3/tree/MATH500/15_1000.jsonl,28
Llama,tree,15,15_1000#29,67,205,272,1,LLAMA3/tree/MATH500/15_1000.jsonl,29
Llama,tree,15,15_1000#30,110,252,362,0,LLAMA3/tree/MATH500/15_1000.jsonl,30
Llama,tree,15,15_1000#31,57,385,442,0,LLAMA3/tree/MATH500/15_1000.jsonl,31
Llama,tree,15,15_1000#32,41,157,198,0,LLAMA3/tree/MATH500/15_1000.jsonl,32
Llama,tree,15,15_1000#33,84,211,295,1,LLAMA3/tree/MATH500/15_1000.jsonl,33
Llama,tree,15,15_1000#34,78,482,560,1,LLAMA3/tree/MATH500/15_1000.jsonl,34
Llama,tree,15,15_1000#35,66,605,671,1,LLAMA3/tree/MATH500/15_1000.jsonl,35
Llama,tree,15,15_1000#36,74,162,236,1,LLAMA3/tree/MATH500/15_1000.jsonl,36
Llama,tree,15,15_1000#37,62,1001,1063,0,LLAMA3/tree/MATH500/15_1000.jsonl,37
Llama,tree,15,15_1000#38,67,249,316,0,LLAMA3/tree/MATH500/15_1000.jsonl,38
Llama,tree,15,15_1000#39,74,224,298,0,LLAMA3/tree/MATH500/15_1000.jsonl,39
Llama,tree,15,15_1000#40,55,232,287,1,LLAMA3/tree/MATH500/15_1000.jsonl,40
Llama,tree,15,15_1000#41,130,130,260,1,LLAMA3/tree/MATH500/15_1000.jsonl,41
Llama,tree,15,15_1000#42,83,318,401,0,LLAMA3/tree/MATH500/15_1000.jsonl,42
Llama,tree,15,15_1000#43,73,314,387,0,LLAMA3/tree/MATH500/15_1000.jsonl,43
Llama,tree,15,15_1000#44,107,551,658,0,LLAMA3/tree/MATH500/15_1000.jsonl,44
Llama,tree,15,15_1000#45,97,408,505,1,LLAMA3/tree/MATH500/15_1000.jsonl,45
Llama,tree,15,15_1000#46,69,177,246,0,LLAMA3/tree/MATH500/15_1000.jsonl,46
Llama,tree,15,15_1000#47,77,474,551,0,LLAMA3/tree/MATH500/15_1000.jsonl,47
Llama,tree,15,15_1000#48,84,350,434,1,LLAMA3/tree/MATH500/15_1000.jsonl,48
Llama,tree,15,15_1000#49,52,199,251,1,LLAMA3/tree/MATH500/15_1000.jsonl,49
Llama,tree,15,15_1000#50,58,217,275,1,LLAMA3/tree/MATH500/15_1000.jsonl,50
Llama,tree,15,15_1000#51,129,255,384,0,LLAMA3/tree/MATH500/15_1000.jsonl,51
Llama,tree,15,15_1000#52,55,829,884,1,LLAMA3/tree/MATH500/15_1000.jsonl,52
Llama,tree,15,15_1000#53,63,127,190,1,LLAMA3/tree/MATH500/15_1000.jsonl,53
Llama,tree,15,15_1000#54,60,75,135,1,LLAMA3/tree/MATH500/15_1000.jsonl,54
Llama,tree,15,15_1000#55,45,65,110,0,LLAMA3/tree/MATH500/15_1000.jsonl,55
Llama,tree,15,15_1000#56,83,228,311,0,LLAMA3/tree/MATH500/15_1000.jsonl,56
Llama,tree,15,15_1000#57,57,126,183,1,LLAMA3/tree/MATH500/15_1000.jsonl,57
Llama,tree,15,15_1000#58,87,548,635,0,LLAMA3/tree/MATH500/15_1000.jsonl,58
Llama,tree,15,15_1000#59,47,146,193,0,LLAMA3/tree/MATH500/15_1000.jsonl,59
Llama,tree,15,15_1000#60,79,335,414,0,LLAMA3/tree/MATH500/15_1000.jsonl,60
Llama,tree,15,15_1000#61,83,1001,1084,0,LLAMA3/tree/MATH500/15_1000.jsonl,61
Llama,tree,15,15_1000#62,102,375,477,1,LLAMA3/tree/MATH500/15_1000.jsonl,62
Llama,tree,15,15_1000#63,139,896,1035,0,LLAMA3/tree/MATH500/15_1000.jsonl,63
Llama,tree,15,15_1000#64,122,800,922,0,LLAMA3/tree/MATH500/15_1000.jsonl,64
Llama,tree,15,15_1000#65,99,886,985,0,LLAMA3/tree/MATH500/15_1000.jsonl,65
Llama,tree,15,15_1000#66,47,198,245,1,LLAMA3/tree/MATH500/15_1000.jsonl,66
Llama,tree,15,15_1000#67,71,160,231,1,LLAMA3/tree/MATH500/15_1000.jsonl,67
Llama,tree,15,15_1000#68,81,227,308,0,LLAMA3/tree/MATH500/15_1000.jsonl,68
Llama,tree,15,15_1000#69,94,1001,1095,0,LLAMA3/tree/MATH500/15_1000.jsonl,69
Llama,tree,15,15_1000#70,89,1001,1090,0,LLAMA3/tree/MATH500/15_1000.jsonl,70
Llama,tree,15,15_1000#71,53,146,199,1,LLAMA3/tree/MATH500/15_1000.jsonl,71
Llama,tree,15,15_1000#72,53,229,282,0,LLAMA3/tree/MATH500/15_1000.jsonl,72
Llama,tree,15,15_1000#73,67,228,295,1,LLAMA3/tree/MATH500/15_1000.jsonl,73
Llama,tree,15,15_1000#74,104,319,423,1,LLAMA3/tree/MATH500/15_1000.jsonl,74
Llama,tree,15,15_1000#75,60,204,264,0,LLAMA3/tree/MATH500/15_1000.jsonl,75
Llama,tree,15,15_1000#76,71,324,395,1,LLAMA3/tree/MATH500/15_1000.jsonl,76
Llama,tree,15,15_1000#77,73,171,244,1,LLAMA3/tree/MATH500/15_1000.jsonl,77
Llama,tree,15,15_1000#78,52,128,180,1,LLAMA3/tree/MATH500/15_1000.jsonl,78
Llama,tree,15,15_1000#79,102,1001,1103,0,LLAMA3/tree/MATH500/15_1000.jsonl,79
Llama,tree,15,15_1000#80,54,115,169,1,LLAMA3/tree/MATH500/15_1000.jsonl,80
Llama,tree,15,15_1000#81,75,1001,1076,0,LLAMA3/tree/MATH500/15_1000.jsonl,81
Llama,tree,15,15_1000#82,82,186,268,0,LLAMA3/tree/MATH500/15_1000.jsonl,82
Llama,tree,15,15_1000#83,120,420,540,0,LLAMA3/tree/MATH500/15_1000.jsonl,83
Llama,tree,15,15_1000#84,55,1001,1056,0,LLAMA3/tree/MATH500/15_1000.jsonl,84
Llama,tree,15,15_1000#85,86,390,476,1,LLAMA3/tree/MATH500/15_1000.jsonl,85
Llama,tree,15,15_1000#86,93,341,434,1,LLAMA3/tree/MATH500/15_1000.jsonl,86
Llama,tree,15,15_1000#87,71,105,176,0,LLAMA3/tree/MATH500/15_1000.jsonl,87
Llama,tree,15,15_1000#88,57,297,354,1,LLAMA3/tree/MATH500/15_1000.jsonl,88
Llama,tree,15,15_1000#89,120,1001,1121,0,LLAMA3/tree/MATH500/15_1000.jsonl,89
Llama,tree,15,15_1000#90,53,378,431,0,LLAMA3/tree/MATH500/15_1000.jsonl,90
Llama,tree,15,15_1000#91,74,134,208,0,LLAMA3/tree/MATH500/15_1000.jsonl,91
Llama,tree,15,15_1000#92,76,299,375,0,LLAMA3/tree/MATH500/15_1000.jsonl,92
Llama,tree,15,15_1000#93,73,464,537,0,LLAMA3/tree/MATH500/15_1000.jsonl,93
Llama,tree,15,15_1000#94,75,455,530,1,LLAMA3/tree/MATH500/15_1000.jsonl,94
Llama,tree,15,15_1000#95,375,1001,1376,0,LLAMA3/tree/MATH500/15_1000.jsonl,95
Llama,tree,15,15_1000#96,113,734,847,1,LLAMA3/tree/MATH500/15_1000.jsonl,96
Llama,tree,15,15_1000#97,137,1001,1138,0,LLAMA3/tree/MATH500/15_1000.jsonl,97
Llama,tree,15,15_1000#98,76,198,274,0,LLAMA3/tree/MATH500/15_1000.jsonl,98
Llama,tree,15,15_1000#99,51,156,207,0,LLAMA3/tree/MATH500/15_1000.jsonl,99
Llama,tree,15,15_1000#100,130,1001,1131,0,LLAMA3/tree/MATH500/15_1000.jsonl,100
Llama,tree,3,3_1000#1,81,308,389,0,LLAMA3/tree/MATH500/3_1000.jsonl,1
Llama,tree,3,3_1000#2,144,1001,1145,0,LLAMA3/tree/MATH500/3_1000.jsonl,2
Llama,tree,3,3_1000#3,80,449,529,1,LLAMA3/tree/MATH500/3_1000.jsonl,3
Llama,tree,3,3_1000#4,45,115,160,0,LLAMA3/tree/MATH500/3_1000.jsonl,4
Llama,tree,3,3_1000#5,360,404,764,0,LLAMA3/tree/MATH500/3_1000.jsonl,5
Llama,tree,3,3_1000#6,73,107,180,0,LLAMA3/tree/MATH500/3_1000.jsonl,6
Llama,tree,3,3_1000#7,52,783,835,0,LLAMA3/tree/MATH500/3_1000.jsonl,7
Llama,tree,3,3_1000#8,99,892,991,0,LLAMA3/tree/MATH500/3_1000.jsonl,8
Llama,tree,3,3_1000#9,67,198,265,0,LLAMA3/tree/MATH500/3_1000.jsonl,9
Llama,tree,3,3_1000#10,174,1001,1175,0,LLAMA3/tree/MATH500/3_1000.jsonl,10
Llama,tree,3,3_1000#11,57,334,391,0,LLAMA3/tree/MATH500/3_1000.jsonl,11
Llama,tree,3,3_1000#12,92,694,786,0,LLAMA3/tree/MATH500/3_1000.jsonl,12
Llama,tree,3,3_1000#13,101,239,340,1,LLAMA3/tree/MATH500/3_1000.jsonl,13
Llama,tree,3,3_1000#14,204,203,407,1,LLAMA3/tree/MATH500/3_1000.jsonl,14
Llama,tree,3,3_1000#15,144,279,423,0,LLAMA3/tree/MATH500/3_1000.jsonl,15
Llama,tree,3,3_1000#16,211,1001,1212,0,LLAMA3/tree/MATH500/3_1000.jsonl,16
Llama,tree,3,3_1000#17,54,83,137,1,LLAMA3/tree/MATH500/3_1000.jsonl,17
Llama,tree,3,3_1000#18,240,1001,1241,0,LLAMA3/tree/MATH500/3_1000.jsonl,18
Llama,tree,3,3_1000#19,179,420,599,0,LLAMA3/tree/MATH500/3_1000.jsonl,19
Llama,tree,3,3_1000#20,81,790,871,0,LLAMA3/tree/MATH500/3_1000.jsonl,20
Llama,tree,3,3_1000#21,46,124,170,1,LLAMA3/tree/MATH500/3_1000.jsonl,21
Llama,tree,3,3_1000#22,62,818,880,0,LLAMA3/tree/MATH500/3_1000.jsonl,22
Llama,tree,3,3_1000#23,158,554,712,0,LLAMA3/tree/MATH500/3_1000.jsonl,23
Llama,tree,3,3_1000#24,61,482,543,0,LLAMA3/tree/MATH500/3_1000.jsonl,24
Llama,tree,3,3_1000#25,130,408,538,1,LLAMA3/tree/MATH500/3_1000.jsonl,25
Llama,tree,3,3_1000#26,112,634,746,0,LLAMA3/tree/MATH500/3_1000.jsonl,26
Llama,tree,3,3_1000#27,85,423,508,0,LLAMA3/tree/MATH500/3_1000.jsonl,27
Llama,tree,3,3_1000#28,110,244,354,0,LLAMA3/tree/MATH500/3_1000.jsonl,28
Llama,tree,3,3_1000#29,67,116,183,1,LLAMA3/tree/MATH500/3_1000.jsonl,29
Llama,tree,3,3_1000#30,110,239,349,0,LLAMA3/tree/MATH500/3_1000.jsonl,30
Llama,tree,3,3_1000#31,57,127,184,1,LLAMA3/tree/MATH500/3_1000.jsonl,31
Llama,tree,3,3_1000#32,41,157,198,0,LLAMA3/tree/MATH500/3_1000.jsonl,32
Llama,tree,3,3_1000#33,84,207,291,0,LLAMA3/tree/MATH500/3_1000.jsonl,33
Llama,tree,3,3_1000#34,78,407,485,0,LLAMA3/tree/MATH500/3_1000.jsonl,34
Llama,tree,3,3_1000#35,66,696,762,1,LLAMA3/tree/MATH500/3_1000.jsonl,35
Llama,tree,3,3_1000#36,74,320,394,1,LLAMA3/tree/MATH500/3_1000.jsonl,36
Llama,tree,3,3_1000#37,62,852,914,0,LLAMA3/tree/MATH500/3_1000.jsonl,37
Llama,tree,3,3_1000#38,67,235,302,0,LLAMA3/tree/MATH500/3_1000.jsonl,38
Llama,tree,3,3_1000#39,74,230,304,0,LLAMA3/tree/MATH500/3_1000.jsonl,39
Llama,tree,3,3_1000#40,55,232,287,1,LLAMA3/tree/MATH500/3_1000.jsonl,40
Llama,tree,3,3_1000#41,130,154,284,1,LLAMA3/tree/MATH500/3_1000.jsonl,41
Llama,tree,3,3_1000#42,83,320,403,0,LLAMA3/tree/MATH500/3_1000.jsonl,42
